id,justificacion,caracteristica
3173,"Se clasifica como Efectividad porque ""Factura electronica no llega al correo registrado del paciente"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3347,"Se clasifica como Cobertura de Contexto porque ""Version desactualizada del app impide iniciar sesion"" muestra que el resultado cambia segun dispositivo, conectividad o contexto de operacion.",Cobertura de Contexto
1120,"Se clasifica como Libertad de Riesgo porque ""Nota de credito no se aplica al saldo pendiente del paciente"" puede ocasionar dano clinico, financiero, de privacidad o de seguridad.",Libertad de Riesgo
1377,"Se clasifica como Libertad de Riesgo porque ""Alerta de interaccion medicamentosa no se despliega correctamente"" puede ocasionar dano clinico, financiero, de privacidad o de seguridad.",Libertad de Riesgo
1454,"Se clasifica como Efectividad porque ""Duplicidad de codigos entre dos presentaciones distintas de un mismo farmaco"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
2368,"Se clasifica como Efectividad porque ""La app no permite actualizar el numero de contacto del paciente"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
2506,"Se clasifica como Efectividad porque ""Alerta de vencimiento de lote no se muestra en el modulo"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
2872,"Se clasifica como Efectividad porque ""Orden medica no se sincroniza con el modulo de farmacia"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3155,"Se clasifica como Cobertura de Contexto porque ""Consumo elevado de datos moviles al abrir el modulo de citas"" muestra que el resultado cambia segun dispositivo, conectividad o contexto de operacion.",Cobertura de Contexto
3430,"Se clasifica como Satisfaccion porque ""Calidad de video muy baja pese a tener buena conexion a internet"" evidencia confusion, frustracion o abandono y reduce la disposicion de uso.",Satisfaccion
3543,"Se clasifica como Libertad de Riesgo porque ""Reintento de transaccion genera doble cobro en la tarjeta"" puede ocasionar dano clinico, financiero, de privacidad o de seguridad.",Libertad de Riesgo
1286,"Se clasifica como Efectividad porque ""Orden medica no se sincroniza con el modulo de farmacia"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1530,"Se clasifica como Efectividad porque ""Duplicado de historia clinica al registrar un paciente ya existente"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
2371,"Se clasifica como Efectividad porque ""Error al registrar la dispensacion de un medicamento controlado"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
2895,"Se clasifica como Efectividad porque ""El sistema no permite anular una factura emitida por error"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3147,"Se clasifica como Efectividad porque ""Grabacion de la consulta no se almacena correctamente"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3360,"Se clasifica como Cobertura de Contexto porque ""Version desactualizada del app impide iniciar sesion"" muestra que el resultado cambia segun dispositivo, conectividad o contexto de operacion.",Cobertura de Contexto
3522,"Se clasifica como Efectividad porque ""La aplicacion se cierra inesperadamente al abrir resultados de laboratorio"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1062,"Se clasifica como Eficiencia porque ""Tiempo de carga de la ficha clinica supera los 23s en horas pico"" obliga a emplear mas tiempo o recursos de los aceptables para completar la tarea.",Eficiencia
1151,"Se clasifica como Cobertura de Contexto porque ""El sistema no permite adjuntar imagenes de heridas desde la tablet"" muestra que el resultado cambia segun dispositivo, conectividad o contexto de operacion.",Cobertura de Contexto
1246,"Se clasifica como Efectividad porque ""El sistema no permite adjuntar el reporte en PDF del laboratorio externo"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
2057,"Se clasifica como Eficiencia porque ""Tiempo de espera en el portal supera los 11s en horas pico"" obliga a emplear mas tiempo o recursos de los aceptables para completar la tarea.",Eficiencia
2294,"Se clasifica como Efectividad porque ""El medico no puede compartir pantalla con resultados de examenes"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3028,"Se clasifica como Efectividad porque ""El medico no puede compartir pantalla con resultados de examenes"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3363,"Se clasifica como Efectividad porque ""Perdida de la nota de evolucion tras un cierre inesperado de sesion"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3617,"Se clasifica como Efectividad porque ""Consulta anterior no se muestra en el resumen de antecedentes"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3791,"Se clasifica como Efectividad porque ""El pago del bono de consulta no se refleja tras completarlo"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3814,"Se clasifica como Libertad de Riesgo porque ""Historial de alergias no carga al abrir la ficha del paciente"" puede ocasionar dano clinico, financiero, de privacidad o de seguridad.",Libertad de Riesgo
3934,"Se clasifica como Efectividad porque ""Filtro de especialidad medica no devuelve resultados"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1340,"Se clasifica como Efectividad porque ""Error al reagendar una cita previamente confirmada"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1473,"Se clasifica como Efectividad porque ""La sesion se cierra automaticamente antes de terminar la consulta"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1610,"Se clasifica como Efectividad porque ""Error de calculo en el copago del seguro medico"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1670,"Se clasifica como Efectividad porque ""Receta electronica llega incompleta desde el modulo de HCE"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1737,"Se clasifica como Cobertura de Contexto porque ""El boton de teleconsulta no redirige correctamente a la videollamada"" muestra que el resultado cambia segun dispositivo, conectividad o contexto de operacion.",Cobertura de Contexto
1952,"Se clasifica como Efectividad porque ""El sistema no permite adjuntar el reporte en PDF del laboratorio externo"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1986,"Se clasifica como Efectividad porque ""El reporte de ocupacion hospitalaria no se actualiza automaticamente"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
2067,"Se clasifica como Efectividad porque ""La aplicacion se cierra inesperadamente al abrir resultados de laboratorio"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
2349,"Se clasifica como Efectividad porque ""Receta electronica no se genera al finalizar la teleconsulta"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
2445,"Se clasifica como Cobertura de Contexto porque ""El inicio de sesion con biometria falla de forma intermitente"" muestra que el resultado cambia segun dispositivo, conectividad o contexto de operacion.",Cobertura de Contexto
2670,"Se clasifica como Libertad de Riesgo porque ""Receta electronica se genera con la dosis incorrecta tras guardar"" puede ocasionar dano clinico, financiero, de privacidad o de seguridad.",Libertad de Riesgo
3253,"Se clasifica como Efectividad porque ""Doble reserva de un mismo cupo por dos pacientes distintos"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3517,"Se clasifica como Efectividad porque ""Duplicidad de codigos entre dos presentaciones distintas de un mismo farmaco"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1066,"Se clasifica como Cobertura de Contexto porque ""Videollamada se corta a los 4 minutos"" muestra que el resultado cambia segun dispositivo, conectividad o contexto de operacion.",Cobertura de Contexto
1196,"Se clasifica como Efectividad porque ""Discrepancia entre el reporte financiero y el modulo de facturacion"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1269,"Se clasifica como Cobertura de Contexto porque ""Version desactualizada del app impide iniciar sesion"" muestra que el resultado cambia segun dispositivo, conectividad o contexto de operacion.",Cobertura de Contexto
1280,"Se clasifica como Efectividad porque ""Las imagenes de rayos X no cargan en el visor DICOM"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1321,"Se clasifica como Eficiencia porque ""Retraso de 11s al procesar el pago con tarjeta de credito"" obliga a emplear mas tiempo o recursos de los aceptables para completar la tarea.",Eficiencia
1441,"Se clasifica como Eficiencia porque ""Nota de evolucion tarda 10s en guardarse"" obliga a emplear mas tiempo o recursos de los aceptables para completar la tarea.",Eficiencia
1532,"Se clasifica como Efectividad porque ""Receta electronica llega incompleta desde el modulo de HCE"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1567,"Se clasifica como Efectividad porque ""Reembolso aprobado no se refleja en el estado de cuenta"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1674,"Se clasifica como Cobertura de Contexto porque ""Audio desincronizado durante la teleconsulta"" muestra que el resultado cambia segun dispositivo, conectividad o contexto de operacion.",Cobertura de Contexto
2626,"Se clasifica como Efectividad porque ""La aplicacion se cierra inesperadamente al abrir resultados de laboratorio"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3011,"Se clasifica como Efectividad porque ""Notificacion de recordatorio de cita llega con la fecha incorrecta"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3046,"Se clasifica como Satisfaccion porque ""Calidad de video muy baja pese a tener buena conexion a internet"" evidencia confusion, frustracion o abandono y reduce la disposicion de uso.",Satisfaccion
3177,"Se clasifica como Efectividad porque ""El portal muestra disponibilidad para un horario ya ocupado"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3242,"Se clasifica como Efectividad porque ""La aplicacion se cierra inesperadamente al abrir resultados de laboratorio"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3301,"Se clasifica como Eficiencia porque ""Tiempo de carga de la ficha clinica supera los 24s en horas pico"" obliga a emplear mas tiempo o recursos de los aceptables para completar la tarea.",Eficiencia
3348,"Se clasifica como Efectividad porque ""Factura generada con el nombre del paciente incorrecto"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3411,"Se clasifica como Libertad de Riesgo porque ""Factura duplicada al reintentar pago"" puede ocasionar dano clinico, financiero, de privacidad o de seguridad.",Libertad de Riesgo
3776,"Se clasifica como Libertad de Riesgo porque ""Nota de credito no se aplica al saldo pendiente del paciente"" puede ocasionar dano clinico, financiero, de privacidad o de seguridad.",Libertad de Riesgo
3900,"Se clasifica como Efectividad porque ""El campo de diagnostico CIE-10 no permite busqueda por texto"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3978,"Se clasifica como Efectividad porque ""Usuario no logra agendar tras 3 intentos"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1056,"Se clasifica como Eficiencia porque ""Tiempo de respuesta del modulo de farmacia supera los 31s"" obliga a emplear mas tiempo o recursos de los aceptables para completar la tarea.",Eficiencia
1272,"Se clasifica como Cobertura de Contexto porque ""Audio desincronizado durante la teleconsulta"" muestra que el resultado cambia segun dispositivo, conectividad o contexto de operacion.",Cobertura de Contexto
1328,"Se clasifica como Efectividad porque ""Reembolso aprobado no se refleja en el estado de cuenta"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
2177,"Se clasifica como Libertad de Riesgo porque ""Factura duplicada al reintentar pago"" puede ocasionar dano clinico, financiero, de privacidad o de seguridad.",Libertad de Riesgo
2674,"Se clasifica como Efectividad porque ""Error al reagendar una cita previamente confirmada"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
2695,"Se clasifica como Efectividad porque ""La sesion se cierra automaticamente antes de terminar la consulta"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3172,"Se clasifica como Cobertura de Contexto porque ""El boton de teleconsulta no redirige correctamente a la videollamada"" muestra que el resultado cambia segun dispositivo, conectividad o contexto de operacion.",Cobertura de Contexto
3632,"Se clasifica como Eficiencia porque ""Nota de evolucion tarda 19s en guardarse"" obliga a emplear mas tiempo o recursos de los aceptables para completar la tarea.",Eficiencia
1447,"Se clasifica como Efectividad porque ""Signos vitales registrados por enfermeria no aparecen en la HCE del medico"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
2024,"Se clasifica como Satisfaccion porque ""Calidad de video muy baja pese a tener buena conexion a internet"" evidencia confusion, frustracion o abandono y reduce la disposicion de uso.",Satisfaccion
2660,"Se clasifica como Eficiencia porque ""Tiempo de respuesta del modulo de farmacia supera los 31s"" obliga a emplear mas tiempo o recursos de los aceptables para completar la tarea.",Eficiencia
3125,"Se clasifica como Cobertura de Contexto porque ""El sistema no permite adjuntar imagenes de heridas desde la tablet"" muestra que el resultado cambia segun dispositivo, conectividad o contexto de operacion.",Cobertura de Contexto
3640,"Se clasifica como Efectividad porque ""Orden de laboratorio duplicada tras reintentar el envio"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3692,"Se clasifica como Efectividad porque ""Signos vitales registrados por enfermeria no aparecen en la HCE del medico"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1076,"Se clasifica como Efectividad porque ""Signos vitales registrados por enfermeria no aparecen en la HCE del medico"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1110,"Se clasifica como Eficiencia porque ""Retraso de 18s en la disponibilidad de resultados criticos"" obliga a emplear mas tiempo o recursos de los aceptables para completar la tarea.",Eficiencia
1118,"Se clasifica como Efectividad porque ""El campo de diagnostico CIE-10 no permite busqueda por texto"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1306,"Se clasifica como Efectividad porque ""Resultado de examen de laboratorio no se sincroniza con la HCE"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1348,"Se clasifica como Efectividad porque ""Factura generada con el nombre del paciente incorrecto"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1632,"Se clasifica como Efectividad porque ""Resultados de examenes no se visualizan en formato PDF"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1814,"Se clasifica como Efectividad porque ""Inventario del sistema no coincide con el stock fisico del insumo"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
2297,"Se clasifica como Efectividad porque ""Factura generada con el nombre del paciente incorrecto"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
2334,"Se clasifica como Efectividad porque ""Firma electronica del medico no se valida al cerrar la consulta"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3266,"Se clasifica como Efectividad porque ""Perdida de calidad en las imagenes al ser visualizadas desde la app"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3403,"Se clasifica como Libertad de Riesgo porque ""Datos de otro paciente visibles brevemente al abrir un expediente"" puede ocasionar dano clinico, financiero, de privacidad o de seguridad.",Libertad de Riesgo
3806,"Se clasifica como Libertad de Riesgo porque ""Datos de otro paciente visibles brevemente al abrir un expediente"" puede ocasionar dano clinico, financiero, de privacidad o de seguridad.",Libertad de Riesgo
3861,"Se clasifica como Efectividad porque ""El sistema no permite adjuntar el reporte en PDF del laboratorio externo"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3894,"Se clasifica como Efectividad porque ""Doble reserva de un mismo cupo por dos pacientes distintos"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1702,"Se clasifica como Efectividad porque ""Resultados de examenes no se visualizan en formato PDF"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1729,"Se clasifica como Libertad de Riesgo porque ""Alerta de interaccion medicamentosa no se despliega correctamente"" puede ocasionar dano clinico, financiero, de privacidad o de seguridad.",Libertad de Riesgo
1739,"Se clasifica como Libertad de Riesgo porque ""Factura duplicada al reintentar pago"" puede ocasionar dano clinico, financiero, de privacidad o de seguridad.",Libertad de Riesgo
2410,"Se clasifica como Cobertura de Contexto porque ""Videollamada se corta a los 4 minutos"" muestra que el resultado cambia segun dispositivo, conectividad o contexto de operacion.",Cobertura de Contexto
2733,"Se clasifica como Efectividad porque ""La aplicacion se cierra inesperadamente al abrir resultados de laboratorio"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
2745,"Se clasifica como Efectividad porque ""Duplicidad de codigos entre dos presentaciones distintas de un mismo farmaco"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
2766,"Se clasifica como Cobertura de Contexto porque ""Boton de confirmar cita no responde en dispositivos moviles"" muestra que el resultado cambia segun dispositivo, conectividad o contexto de operacion.",Cobertura de Contexto
2812,"Se clasifica como Libertad de Riesgo porque ""Alerta de interaccion medicamentosa no se despliega correctamente"" puede ocasionar dano clinico, financiero, de privacidad o de seguridad.",Libertad de Riesgo
2873,"Se clasifica como Eficiencia porque ""Retraso de 10s al procesar el pago con tarjeta de credito"" obliga a emplear mas tiempo o recursos de los aceptables para completar la tarea.",Eficiencia
2941,"Se clasifica como Efectividad porque ""Orden medica no se sincroniza con el modulo de farmacia"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3795,"Se clasifica como Efectividad porque ""El chat de la consulta no permite enviar imagenes"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1358,"Se clasifica como Efectividad porque ""El portal muestra disponibilidad para un horario ya ocupado"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1528,"Se clasifica como Efectividad porque ""Duplicidad de codigos entre dos presentaciones distintas de un mismo farmaco"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1768,"Se clasifica como Efectividad porque ""El sistema no envia la confirmacion por correo electronico"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
2167,"Se clasifica como Efectividad porque ""Perdida de la nota de evolucion tras un cierre inesperado de sesion"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3143,"Se clasifica como Efectividad porque ""Signos vitales registrados por enfermeria no aparecen en la HCE del medico"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3148,"Se clasifica como Efectividad porque ""El sistema no reconoce el convenio con la aseguradora"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1418,"Se clasifica como Efectividad porque ""Las imagenes de rayos X no cargan en el visor DICOM"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1672,"Se clasifica como Efectividad porque ""Orden medica no se sincroniza con el modulo de farmacia"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
2488,"Se clasifica como Efectividad porque ""Paciente no puede unirse a la sala virtual a la hora agendada"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
2549,"Se clasifica como Efectividad porque ""El chat de la consulta no permite enviar imagenes"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3005,"Se clasifica como Efectividad porque ""Inventario del sistema no coincide con el stock fisico del insumo"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3652,"Se clasifica como Efectividad porque ""Factura electronica no llega al correo registrado del paciente"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3715,"Se clasifica como Efectividad porque ""Orden de laboratorio duplicada tras reintentar el envio"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3959,"Se clasifica como Efectividad porque ""Cancelacion de cita no libera el cupo en el calendario"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3983,"Se clasifica como Efectividad porque ""El sistema no reconoce el convenio con la aseguradora"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1080,"Se clasifica como Efectividad porque ""Signos vitales registrados por enfermeria no aparecen en la HCE del medico"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1369,"Se clasifica como Eficiencia porque ""El sistema se congela al adjuntar resultados de laboratorio a la HCE"" obliga a emplear mas tiempo o recursos de los aceptables para completar la tarea.",Eficiencia
1744,"Se clasifica como Libertad de Riesgo porque ""Alerta de interaccion medicamentosa no se despliega correctamente"" puede ocasionar dano clinico, financiero, de privacidad o de seguridad.",Libertad de Riesgo
2029,"Se clasifica como Efectividad porque ""Doble reserva de un mismo cupo por dos pacientes distintos"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1275,"Se clasifica como Efectividad porque ""Error al registrar la dispensacion de un medicamento controlado"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1551,"Se clasifica como Eficiencia porque ""Retraso de 21s al procesar el pago con tarjeta de credito"" obliga a emplear mas tiempo o recursos de los aceptables para completar la tarea.",Eficiencia
2374,"Se clasifica como Efectividad porque ""El sistema no descuenta automaticamente el medicamento dispensado"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
2525,"Se clasifica como Efectividad porque ""Paciente no puede unirse a la sala virtual a la hora agendada"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3483,"Se clasifica como Eficiencia porque ""Nota de evolucion tarda 24s en guardarse"" obliga a emplear mas tiempo o recursos de los aceptables para completar la tarea.",Eficiencia
3506,"Se clasifica como Efectividad porque ""Codigo de barras de la muestra no es reconocido por el lector"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3650,"Se clasifica como Efectividad porque ""Cancelacion de cita no libera el cupo en el calendario"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1073,"Se clasifica como Efectividad porque ""Sesion expira antes de finalizar el proceso de agendamiento"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1457,"Se clasifica como Efectividad porque ""Signos vitales registrados por enfermeria no aparecen en la HCE del medico"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1617,"Se clasifica como Efectividad porque ""Resultados de examenes no se visualizan en formato PDF"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1964,"Se clasifica como Efectividad porque ""Resultado de examen de laboratorio no se sincroniza con la HCE"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
2150,"Se clasifica como Libertad de Riesgo porque ""Historial de alergias no carga al abrir la ficha del paciente"" puede ocasionar dano clinico, financiero, de privacidad o de seguridad.",Libertad de Riesgo
2255,"Se clasifica como Efectividad porque ""Firma electronica del medico no se valida al cerrar la consulta"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
2333,"Se clasifica como Efectividad porque ""Las imagenes de rayos X no cargan en el visor DICOM"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
2979,"Se clasifica como Efectividad porque ""La sesion se cierra automaticamente antes de terminar la consulta"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
2983,"Se clasifica como Efectividad porque ""El campo de diagnostico CIE-10 no permite busqueda por texto"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3195,"Se clasifica como Efectividad porque ""El sistema no permite adjuntar el reporte en PDF del laboratorio externo"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3495,"Se clasifica como Efectividad porque ""Factura electronica no llega al correo registrado del paciente"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3498,"Se clasifica como Efectividad porque ""Error al reagendar una cita previamente confirmada"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3568,"Se clasifica como Efectividad porque ""Alerta de vencimiento de lote no se muestra en el modulo"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3727,"Se clasifica como Efectividad porque ""El portal muestra disponibilidad para un horario ya ocupado"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3948,"Se clasifica como Libertad de Riesgo porque ""Nota de credito no se aplica al saldo pendiente del paciente"" puede ocasionar dano clinico, financiero, de privacidad o de seguridad.",Libertad de Riesgo
3956,"Se clasifica como Cobertura de Contexto porque ""El sistema no permite adjuntar imagenes de heridas desde la tablet"" muestra que el resultado cambia segun dispositivo, conectividad o contexto de operacion.",Cobertura de Contexto
1890,"Se clasifica como Eficiencia porque ""Nota de evolucion tarda 19s en guardarse"" obliga a emplear mas tiempo o recursos de los aceptables para completar la tarea.",Eficiencia
1948,"Se clasifica como Efectividad porque ""Factura generada con el nombre del paciente incorrecto"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
2602,"Se clasifica como Efectividad porque ""Doble reserva de un mismo cupo por dos pacientes distintos"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
2970,"Se clasifica como Efectividad porque ""Resultado de examen de laboratorio no se sincroniza con la HCE"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
3442,"Se clasifica como Eficiencia porque ""Retraso de 29s en la disponibilidad de resultados criticos"" obliga a emplear mas tiempo o recursos de los aceptables para completar la tarea.",Eficiencia
1194,"Se clasifica como Libertad de Riesgo porque ""Reintento de transaccion genera doble cobro en la tarjeta"" puede ocasionar dano clinico, financiero, de privacidad o de seguridad.",Libertad de Riesgo
1294,"Se clasifica como Efectividad porque ""Duplicado de historia clinica al registrar un paciente ya existente"" impide completar la tarea o produce un resultado funcional incorrecto.",Efectividad
1553,"Se clasifica como Libertad de Riesgo porque ""Receta electronica se genera con la dosis incorrecta tras guardar"" puede ocasionar dano clinico, financiero, de privacidad o de seguridad.",Libertad de Riesgo
